name,account_number,account_name,parent_account,root_type,report_type,account_type,is_group,disabled,company,account_currency,old_parent,creation,modified
1 - 資產 - O,1,資產,,Asset,Balance Sheet,,1,0,OO,TWD,,2026-06-10 17:20:17.289553,2026-06-10 17:20:17.289553
Temporary Accounts - O,,Temporary Accounts,1 - 資產 - O,Asset,Balance Sheet,Temporary,1,0,OO,TWD,1 - 資產 - O,2026-06-10 17:20:17.297937,2026-06-14 18:01:01.168218
Temporary Opening - O,,Temporary Opening,Temporary Accounts - O,Asset,Balance Sheet,Temporary,0,0,OO,TWD,Temporary Accounts - O,2026-06-10 17:20:17.308094,2026-06-14 18:01:01.299833
18 - 其他資產 - O,18,其他資產,1 - 資產 - O,Asset,Balance Sheet,,1,0,OO,TWD,1 - 資產 - O,2026-06-10 17:20:17.318352,2026-06-14 18:01:01.416407
185 - 出租資產 - O,185,出租資產,18 - 其他資產 - O,Asset,Balance Sheet,,1,0,OO,TWD,18 - 其他資產 - O,2026-06-10 17:20:17.326803,2026-06-14 18:01:01.477840
1851 - 出租資產 - O,1851,出租資產,185 - 出租資產 - O,Asset,Balance Sheet,,0,0,OO,TWD,185 - 出租資產 - O,2026-06-10 17:20:17.338552,2026-06-14 18:01:01.524859
1858 - 出租資產 —重估增值 - O,1858,出租資產 —重估增值,185 - 出租資產 - O,Asset,Balance Sheet,,0,0,OO,TWD,185 - 出租資產 - O,2026-06-10 17:20:17.350179,2026-06-14 18:01:01.579681
1859 - 累積折舊 —出租資產 - O,1859,累積折舊 —出租資產,185 - 出租資產 - O,Asset,Balance Sheet,Accumulated Depreciation,0,0,OO,TWD,185 - 出租資產 - O,2026-06-10 17:20:17.359271,2026-06-14 18:01:01.637312
186 - 存出保證金 - O,186,存出保證金,18 - 其他資產 - O,Asset,Balance Sheet,,1,0,OO,TWD,18 - 其他資產 - O,2026-06-10 17:20:17.368062,2026-06-14 18:01:01.683433
1861 - 存出保證金 - O,1861,存出保證金,186 - 存出保證金 - O,Asset,Balance Sheet,,0,0,OO,TWD,186 - 存出保證金 - O,2026-06-10 17:20:17.376482,2026-06-14 18:01:01.733159
181 - 遞延資產 - O,181,遞延資產,18 - 其他資產 - O,Asset,Balance Sheet,,1,0,OO,TWD,18 - 其他資產 - O,2026-06-10 17:20:17.388302,2026-06-14 18:01:01.804670
1811 - 債券發行成本 - O,1811,債券發行成本,181 - 遞延資產 - O,Asset,Balance Sheet,,0,0,OO,TWD,181 - 遞延資產 - O,2026-06-10 17:20:17.397081,2026-06-14 18:01:01.895391
1818 - 其他遞延資產 - O,1818,其他遞延資產,181 - 遞延資產 - O,Asset,Balance Sheet,,0,0,OO,TWD,181 - 遞延資產 - O,2026-06-10 17:20:17.408840,2026-06-14 18:01:02.018275
1814 - 遞延所得稅資產 - O,1814,遞延所得稅資產,181 - 遞延資產 - O,Asset,Balance Sheet,,0,0,OO,TWD,181 - 遞延資產 - O,2026-06-10 17:20:17.417417,2026-06-14 18:01:02.154715
1813 - 長期預付保險費 - O,1813,長期預付保險費,181 - 遞延資產 - O,Asset,Balance Sheet,,0,0,OO,TWD,181 - 遞延資產 - O,2026-06-10 17:20:17.426342,2026-06-14 18:01:02.289370
1812 - 長期預付租金 - O,1812,長期預付租金,181 - 遞延資產 - O,Asset,Balance Sheet,,0,0,OO,TWD,181 - 遞延資產 - O,2026-06-10 17:20:17.434765,2026-06-14 18:01:02.425097
1815 - 預付退休金 - O,1815,預付退休金,181 - 遞延資產 - O,Asset,Balance Sheet,,0,0,OO,TWD,181 - 遞延資產 - O,2026-06-10 17:20:17.443552,2026-06-14 18:01:02.537126
184 - 長期應收票據及款項與催收帳款 - O,184,長期應收票據及款項與催收帳款,18 - 其他資產 - O,Asset,Balance Sheet,Receivable,1,0,OO,TWD,18 - 其他資產 - O,2026-06-10 17:20:17.451956,2026-06-14 18:01:02.602867
1849 - 備抵呆帳—長期應收票據及款項與催收帳款 - O,1849,備抵呆帳—長期應收票據及款項與催收帳款,184 - 長期應收票據及款項與催收帳款 - O,Asset,Balance Sheet,Receivable,0,0,OO,TWD,184 - 長期應收票據及款項與催收帳款 - O,2026-06-10 17:20:17.460777,2026-06-14 18:01:02.659479
1843 - 催收帳款 - O,1843,催收帳款,184 - 長期應收票據及款項與催收帳款 - O,Asset,Balance Sheet,Receivable,0,0,OO,TWD,184 - 長期應收票據及款項與催收帳款 - O,2026-06-10 17:20:17.472598,2026-06-14 18:01:02.709284
1848 - 其他長期應收款項 - O,1848,其他長期應收款項,184 - 長期應收票據及款項與催收帳款 - O,Asset,Balance Sheet,Receivable,0,0,OO,TWD,184 - 長期應收票據及款項與催收帳款 - O,2026-06-10 17:20:17.481452,2026-06-14 18:01:02.773551
1842 - 長期應收帳款 - O,1842,長期應收帳款,184 - 長期應收票據及款項與催收帳款 - O,Asset,Balance Sheet,Receivable,0,0,OO,TWD,184 - 長期應收票據及款項與催收帳款 - O,2026-06-10 17:20:17.489804,2026-06-14 18:01:02.853617
1841 - 長期應收票據 - O,1841,長期應收票據,184 - 長期應收票據及款項與催收帳款 - O,Asset,Balance Sheet,Receivable,0,0,OO,TWD,184 - 長期應收票據及款項與催收帳款 - O,2026-06-10 17:20:17.498472,2026-06-14 18:01:02.966672
182 - 閒置資產 - O,182,閒置資產,18 - 其他資產 - O,Asset,Balance Sheet,,1,0,OO,TWD,18 - 其他資產 - O,2026-06-10 17:20:17.508549,2026-06-14 18:01:03.102631
1821 - 閒置資產 - O,1821,閒置資產,182 - 閒置資產 - O,Asset,Balance Sheet,,0,0,OO,TWD,182 - 閒置資產 - O,2026-06-10 17:20:17.517564,2026-06-14 18:01:03.237281
188 - 雜項資產 - O,188,雜項資產,18 - 其他資產 - O,Asset,Balance Sheet,,1,0,OO,TWD,18 - 其他資產 - O,2026-06-10 17:20:17.529808,2026-06-14 18:01:03.368082
1881 - 受限制存款 - O,1881,受限制存款,188 - 雜項資產 - O,Asset,Balance Sheet,,0,0,OO,TWD,188 - 雜項資產 - O,2026-06-10 17:20:17.538784,2026-06-14 18:01:03.507926
1888 - 雜項資產 —其他 - O,1888,雜項資產 —其他,188 - 雜項資產 - O,Asset,Balance Sheet,,0,0,OO,TWD,188 - 雜項資產 - O,2026-06-10 17:20:17.550815,2026-06-14 18:01:03.636762
14~15 - 固定資產 - O,14~15,固定資產,1 - 資產 - O,Asset,Balance Sheet,Fixed Asset,1,0,OO,TWD,1 - 資產 - O,2026-06-10 17:20:17.559481,2026-06-14 18:01:03.710425
141 - 土地 - O,141,土地,14~15 - 固定資產 - O,Asset,Balance Sheet,Fixed Asset,1,0,OO,TWD,14~15 - 固定資產 - O,2026-06-10 17:20:17.568694,2026-06-14 18:01:03.772403
1411 - 土地 - O,1411,土地,141 - 土地 - O,Asset,Balance Sheet,Fixed Asset,0,0,OO,TWD,141 - 土地 - O,2026-06-10 17:20:17.582451,2026-06-14 18:01:03.816323
142 - 土地改良物 - O,142,土地改良物,14~15 - 固定資產 - O,Asset,Balance Sheet,Fixed Asset,1,0,OO,TWD,14~15 - 固定資產 - O,2026-06-10 17:20:17.595947,2026-06-14 18:01:03.862242
1421 - 土地改良物 - O,1421,土地改良物,142 - 土地改良物 - O,Asset,Balance Sheet,Fixed Asset,0,0,OO,TWD,142 - 土地改良物 - O,2026-06-10 17:20:17.606208,2026-06-14 18:01:03.923052
143 - 房屋及建物 - O,143,房屋及建物,14~15 - 固定資產 - O,Asset,Balance Sheet,Fixed Asset,1,0,OO,TWD,14~15 - 固定資產 - O,2026-06-10 17:20:17.619338,2026-06-14 18:01:04.003093
1431 - 房屋及建物 - O,1431,房屋及建物,143 - 房屋及建物 - O,Asset,Balance Sheet,Fixed Asset,0,0,OO,TWD,143 - 房屋及建物 - O,2026-06-10 17:20:17.627991,2026-06-14 18:01:04.110346
156 - 未完工程及預付購置設備款 - O,156,未完工程及預付購置設備款,14~15 - 固定資產 - O,Asset,Balance Sheet,Fixed Asset,1,0,OO,TWD,14~15 - 固定資產 - O,2026-06-10 17:20:17.639889,2026-06-14 18:01:04.244131
1561 - 未完工程 - O,1561,未完工程,156 - 未完工程及預付購置設備款 - O,Asset,Balance Sheet,Fixed Asset,0,0,OO,TWD,156 - 未完工程及預付購置設備款 - O,2026-06-10 17:20:17.648565,2026-06-14 18:01:04.390645
144~146 - 機(器)具及設備 - O,144~146,機(器)具及設備,14~15 - 固定資產 - O,Asset,Balance Sheet,Fixed Asset,1,0,OO,TWD,14~15 - 固定資產 - O,2026-06-10 17:20:17.661630,2026-06-14 18:01:04.518128
1441 - 機(器)具 - O,1441,機(器)具,144~146 - 機(器)具及設備 - O,Asset,Balance Sheet,Fixed Asset,0,0,OO,TWD,144~146 - 機(器)具及設備 - O,2026-06-10 17:20:17.670462,2026-06-14 18:01:04.615379
