Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
資產,,TW-ASSET,,1,,Asset,
負債,,TW-LIABILITY,,1,,Liability,
權益,,TW-EQUITY,,1,,Equity,
收入,,TW-INCOME,,1,,Income,
費用,,TW-EXPENSE,,1,,Expense,
營業收入總額,收入,0100001,TW-INCOME,1,Income Account,,
減：銷貨退回,收入,0100002,TW-INCOME,0,,,
銷貨折讓,收入,0100003,TW-INCOME,0,,,
營業收入淨額,收入,0100004,TW-INCOME,1,,,
營業成本,費用,0100005,TW-EXPENSE,1,Cost of Goods Sold,,
營業毛利,費用,0100006,TW-EXPENSE,1,,,
營業費用及損失總額,費用,0100008,TW-EXPENSE,1,,,
薪資支出,費用,0100010,TW-EXPENSE,0,,,
租金支出,費用,0100011,TW-EXPENSE,0,,,
文具用品,費用,0100012,TW-EXPENSE,0,,,
旅費,費用,0100013,TW-EXPENSE,0,,,
運費,費用,0100014,TW-EXPENSE,0,,,
郵電費,費用,0100015,TW-EXPENSE,0,,,
修繕費,費用,0100016,TW-EXPENSE,0,,,
廣告費,費用,0100017,TW-EXPENSE,0,,,
水電瓦斯費,費用,0100018,TW-EXPENSE,0,,,
保險費,費用,0100019,TW-EXPENSE,0,,,
交際費,費用,0100020,TW-EXPENSE,0,,,
捐贈,費用,0100021,TW-EXPENSE,0,,,
稅捐,費用,0100022,TW-EXPENSE,0,,,
呆帳損失,費用,0100023,TW-EXPENSE,0,,,
折舊,費用,0100024,TW-EXPENSE,0,,,
各項耗竭及攤提（包括商譽攤銷）,費用,0100025,TW-EXPENSE,0,,,
外銷損失,費用,0100026,TW-EXPENSE,0,,,
伙食費,費用,0100027,TW-EXPENSE,0,,,
職工福利,費用,0100028,TW-EXPENSE,0,,,
研究發展費,費用,0100029,TW-EXPENSE,0,,,
佣金支出,費用,0100030,TW-EXPENSE,0,,,
訓練費,費用,0100031,TW-EXPENSE,0,,,
其他費用,費用,0100032,TW-EXPENSE,0,,,
營業淨利,費用,0100033,TW-EXPENSE,1,,,
非營業收入總額,收入,0100034,TW-INCOME,1,,,
投資收益（含權益法之投資收益）及一般股息及紅利（含國外投資收益）,收入,0100035,TW-INCOME,0,,,
依所得稅法第43條之3規定計算之投資收益,收入,0100137,TW-INCOME,0,,,
依所得稅法第42條規定取得之股利或盈餘,收入,0100036,TW-INCOME,0,,,
利息收入,收入,0100038,TW-INCOME,0,,,
租賃收入,收入,0100039,TW-INCOME,0,,,
處分資產利益（包括證券、期貨、土地交易所得),收入,0100040,TW-INCOME,0,,,
佣金收入,收入,0100041,TW-INCOME,0,,,
兌換盈益,收入,0100043,TW-INCOME,0,,,
其他收入,收入,0100044,TW-INCOME,0,,,
非營業損失及費用總額,費用,0100045,TW-EXPENSE,1,,,
利息支出,費用,0100046,TW-EXPENSE,0,,,
投資損失,費用,0100047,TW-EXPENSE,0,,,
處分資產損失（包括證券、期貨、土地交易損失),費用,0100048,TW-EXPENSE,0,,,
災害損失,費用,0100049,TW-EXPENSE,0,,,
兌換虧損,費用,0100051,TW-EXPENSE,0,,,
其他損失,費用,0100052,TW-EXPENSE,0,,,
全年所得額,費用,0100053,TW-EXPENSE,1,,,
所得稅費用,費用,0100122,TW-EXPENSE,0,,,
資產總額,資產,0201000,TW-ASSET,1,,,
流動資產,資產,0201100,TW-ASSET,1,,,
現金,資產,0201111,TW-ASSET,0,Cash,,
銀行存款,資產,0201112,TW-ASSET,0,Bank,,
約當現金,資產,0201113,TW-ASSET,0,,,
短期性之投資,資產,0201114,TW-ASSET,0,,,
透過損益按公允價值衡量之金融資產－流動,資產,0201151,TW-ASSET,0,,,
避險之金融資產－流動,資產,0201154,TW-ASSET,0,,,
透過其他綜合損益按公允價值衡量之金融資產－流動,資產,0201158,TW-ASSET,0,,,
按攤銷後成本衡量之金融資產－流動,資產,0201161,TW-ASSET,1,,,
其他金融資產－流動,資產,0201157,TW-ASSET,0,,,
減：累計減損,資產,0201159,TW-ASSET,0,,,
合約資產－流動,資產,0201125,TW-ASSET,0,,,
減：累計減損,資產,0201126,TW-ASSET,0,,,
應收票據,資產,0201121,TW-ASSET,0,,,
減：備抵呆帳,資產,0201122,TW-ASSET,0,,,
應收帳款,資產,0201123,TW-ASSET,0,Receivable,,
減：備抵呆帳,資產,0201124,TW-ASSET,0,,,
其他應收款,資產,0201129,TW-ASSET,0,,,
存貨,資產,0201130,TW-ASSET,0,,,
商品,資產,0201131,TW-ASSET,0,Stock,,
製成品,資產,0201132,TW-ASSET,0,,,
在製品（或在建工程）,資產,0201133,TW-ASSET,0,,,
原料,資產,0201134,TW-ASSET,0,,,
物料,資產,0201135,TW-ASSET,0,,,
寄銷品,資產,0201136,TW-ASSET,0,,,
其他,資產,0201138,TW-ASSET,0,,,
減：備抵存貨跌價,資產,0201137,TW-ASSET,0,,,
預付款項,資產,0201140,TW-ASSET,0,,,
預付費用,資產,0201141,TW-ASSET,0,,,
用品盤存,資產,0201142,TW-ASSET,0,,,
預付貨款,資產,0201143,TW-ASSET,0,,,
進項稅款,資產,0201144,TW-ASSET,0,Tax,,
留抵稅額,資產,0201145,TW-ASSET,0,Tax,,
其他預付款,資產,0201149,TW-ASSET,0,,,
其他流動資產,資產,0201190,TW-ASSET,1,,,
暫付款,資產,0201191,TW-ASSET,0,,,
業主（股東）往來,資產,0201192,TW-ASSET,0,,,
同業往來,資產,0201193,TW-ASSET,0,,,
其他流動資產－其他,資產,0201199,TW-ASSET,1,,,
非流動資產,資產,0201200,TW-ASSET,1,,,
長期性之投資,資產,0201300,TW-ASSET,0,,,
減：累計減損,資產,0201302,TW-ASSET,0,,,
透過損益按公允價值衡量之金融資產－非流動,資產,0201612,TW-ASSET,0,,,
避險之金融資產－非流動,資產,0201615,TW-ASSET,0,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,資產,0201621,TW-ASSET,0,,,
按攤銷後成本衡量之金融資產－非流動,資產,0201622,TW-ASSET,1,,,
其他金融資產－非流動,資產,0201618,TW-ASSET,0,,,
採用權益法之投資,資產,0201630,TW-ASSET,0,,,
減：累計減損,資產,0201631,TW-ASSET,0,,,
合約資產－非流動,資產,0201640,TW-ASSET,0,,,
減：累計減損,資產,0201641,TW-ASSET,0,,,
不動產、廠房及設備（固定資產）,資產,0201400,TW-ASSET,0,,,
土地,資產,0201410,TW-ASSET,0,,,
減：累計減損,資產,0201411,TW-ASSET,0,,,
房屋及建築,資產,0201431,TW-ASSET,0,,,
減：累計折舊,資產,0201432,TW-ASSET,0,,,
減：累計減損,資產,0201433,TW-ASSET,0,,,
機器設備,資產,0201441,TW-ASSET,0,,,
減：累計折舊,資產,0201442,TW-ASSET,0,,,
減：累計減損,資產,0201443,TW-ASSET,0,,,
運輸設備,資產,0201451,TW-ASSET,0,,,
減：累計折舊,資產,0201452,TW-ASSET,0,,,
減：累計減損,資產,0201453,TW-ASSET,0,,,
辦公設備,資產,0201461,TW-ASSET,0,,,
減：累計折舊,資產,0201462,TW-ASSET,0,,,
減：累計減損,資產,0201463,TW-ASSET,0,,,
未完工程及待驗設備,資產,0201470,TW-ASSET,0,,,
其他固定資產,資產,0201491,TW-ASSET,0,,,
減：累計折舊,資產,0201492,TW-ASSET,0,,,
減：累計減損,資產,0201493,TW-ASSET,0,,,
投資性不動產,資產,0201541,TW-ASSET,0,,,
減：累計折舊,資產,0201542,TW-ASSET,0,,,
礦產資源,資產,0201421,TW-ASSET,0,,,
減：累計折耗,資產,0201422,TW-ASSET,0,,,
生物資產,資產,0201551,TW-ASSET,0,,,
減：累計折舊,資產,0201552,TW-ASSET,0,,,
減：累計減損,資產,0201553,TW-ASSET,0,,,
無形資產(包括商譽金額    元),資產,0201510,TW-ASSET,0,,,
減：累計攤折,資產,0201511,TW-ASSET,0,,,
減：累計減損,資產,0201512,TW-ASSET,0,,,
使用權資產,資產,0201710,TW-ASSET,0,,,
減：累計折舊,資產,0201711,TW-ASSET,0,,,
減：累計減損,資產,0201712,TW-ASSET,0,,,
其他非流動資產,資產,0201900,TW-ASSET,1,,,
存出保證金,資產,0201901,TW-ASSET,0,,,
未攤銷費用,資產,0201902,TW-ASSET,0,,,
預付設備款,資產,0201903,TW-ASSET,0,,,
其他非流動資產－其他,資產,0201904,TW-ASSET,1,,,
負債總額,負債,0202000,TW-LIABILITY,1,,,
流動負債,負債,0202100,TW-LIABILITY,1,,,
短期借款,負債,0202110,TW-LIABILITY,0,,,
銀行透支,負債,0202111,TW-LIABILITY,0,,,
銀行借款,負債,0202112,TW-LIABILITY,0,,,
應付短期票券,負債,0202113,TW-LIABILITY,0,,,
其他短期借款,負債,0202119,TW-LIABILITY,0,,,
透過損益按公允價值衡量之金融負債－流動,負債,0202140,TW-LIABILITY,0,,,
避險之金融負債－流動,負債,0202150,TW-LIABILITY,0,,,
特別股負債－流動,負債,0202170,TW-LIABILITY,0,,,
其他金融負債－流動,負債,0202180,TW-LIABILITY,0,,,
合約負債－流動,負債,0202126,TW-LIABILITY,0,,,
應付票據,負債,0202120,TW-LIABILITY,0,,,
